,main_category,unit_type,sub_category,max_range,min_range
AC Motors_box_Power,AC Motors,box,Power,1600.0,1600.0
AC Motors_box_Speed,AC Motors,box,Speed,1600.0,1600.0
AC Motors_box_Voltage,AC Motors,box,Voltage,1600.0,1600.0
AC Motors_number_Brand,AC Motors,number,Brand,25000.0,25000.0
AC Motors_number_Motor Horsepower,AC Motors,number,Motor Horsepower,22000.0,22000.0
AC Motors_number_Mounting Type,AC Motors,number,Mounting Type,25000.0,25000.0
AC Motors_number_No of Phase,AC Motors,number,No of Phase,22000.0,5200.0
AC Motors_number_Phase,AC Motors,number,Phase,25000.0,25000.0
AC Motors_number_Power,AC Motors,number,Power,22000.0,22000.0
AC Motors_number_Speed,AC Motors,number,Speed,25000.0,22000.0
AC Motors_number_Type,AC Motors,number,Type,22000.0,22000.0
AC Motors_number_Voltage,AC Motors,number,Voltage,22000.0,5200.0
AC Motors_piece_Automation Grade,AC Motors,piece,Automation Grade,4000.0,4000.0
AC Motors_piece_Brand,AC Motors,piece,Brand,6000.0,2000.0
AC Motors_piece_Frame Size,AC Motors,piece,Frame Size,4000.0,3500.0
AC Motors_piece_IP Rating,AC Motors,piece,IP Rating,5000.0,5000.0
AC Motors_piece_Insulation Class,AC Motors,piece,Insulation Class,5500.0,5500.0
AC Motors_piece_Motor Horsepower,AC Motors,piece,Motor Horsepower,4000.0,2500.0
AC Motors_piece_Motor Type,AC Motors,piece,Motor Type,999.0,999.0
AC Motors_piece_Motor Voltage,AC Motors,piece,Motor Voltage,45.0,45.0
AC Motors_piece_Mounting,AC Motors,piece,Mounting,3800.0,2600.0
AC Motors_piece_No of Phase,AC Motors,piece,No of Phase,6500.0,2000.0
AC Motors_piece_Power,AC Motors,piece,Power,7500.0,45.0
AC Motors_piece_Power Source,AC Motors,piece,Power Source,999.0,800.0
AC Motors_piece_Speed,AC Motors,piece,Speed,5500.0,2600.0
AC Motors_piece_Type,AC Motors,piece,Type,6500.0,45.0
AC Motors_piece_Usage/Application,AC Motors,piece,Usage/Application,6500.0,3450.0
AC Motors_piece_Voltage,AC Motors,piece,Voltage,6500.0,45.0
AC Motors_set_No Load Speed,AC Motors,set,No Load Speed,100.0,100.0
AC Motors_set_Phase,AC Motors,set,Phase,100.0,100.0
AC Motors_set_Port Size,AC Motors,set,Port Size,100.0,100.0
AC Motors_set_Power,AC Motors,set,Power,100.0,100.0
AC Motors_unit_Brand,AC Motors,unit,Brand,8000.0,2000.0
AC Motors_unit_Frame Size,AC Motors,unit,Frame Size,14500.0,14500.0
AC Motors_unit_IP Rating,AC Motors,unit,IP Rating,8000.0,5000.0
AC Motors_unit_No of Phase,AC Motors,unit,No of Phase,5000.0,2000.0
AC Motors_unit_Power,AC Motors,unit,Power,8000.0,2100.0
AC Motors_unit_Rated Power,AC Motors,unit,Rated Power,5000.0,5000.0
AC Motors_unit_Speed,AC Motors,unit,Speed,5000.0,3000.0
AC Motors_unit_Type,AC Motors,unit,Type,20000.0,2000.0
AC Motors_unit_Usage/Application,AC Motors,unit,Usage/Application,100000.0,3000.0
AC Motors_unit_Voltage,AC Motors,unit,Voltage,28000.0,2100.0
Acme Safety Shoes_box_Delivery Time,Acme Safety Shoes,box,Delivery Time,860.0,860.0
Acme Safety Shoes_box_Design,Acme Safety Shoes,box,Design,860.0,860.0
Acme Safety Shoes_box_Length,Acme Safety Shoes,box,Length,860.0,860.0
Acme Safety Shoes_box_Material,Acme Safety Shoes,box,Material,860.0,860.0
Acme Safety Shoes_box_Size,Acme Safety Shoes,box,Size,860.0,860.0
Acme Safety Shoes_box_Sole,Acme Safety Shoes,box,Sole,860.0,860.0
